elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
1742,1.0,0:29:02,33.8,10.375,50.675,08/12/19 19:54:56,27.0
1752,1.0,0:29:12,33.8,10.25,50.45,08/12/19 19:55:06,27.0
1762,1.0,0:29:22,33.8,10.25,50.45,08/12/19 19:55:16,27.0
1772,1.0,0:29:32,33.8,10.125,50.225,08/12/19 19:55:26,27.0
1782,1.0,0:29:42,33.8,10.062,50.111599999999996,08/12/19 19:55:36,27.0
1792,1.0,0:29:52,33.8,10.0,50.0,08/12/19 19:55:46,27.0
1802,1.0,0:30:02,33.8,9.937,50.0,08/12/19 19:55:56,27.0
1812,1.0,0:30:12,33.8,9.875,49.8866,08/12/19 19:56:06,27.0
1822,1.0,0:30:22,33.8,9.812,49.775000000000006,08/12/19 19:56:16,27.0
1832,1.0,0:30:32,33.8,9.75,49.55,08/12/19 19:56:26,27.0
1842,1.0,0:30:42,33.8,9.687,49.55,08/12/19 19:56:36,27.0
1852,1.0,0:30:52,33.8,9.625,49.325,08/12/19 19:56:46,27.0
1862,1.0,0:31:02,33.8,9.562,49.211600000000004,08/12/19 19:56:56,27.0
1872,1.0,0:31:12,33.8,9.5,49.1,08/12/19 19:57:06,27.0
1882,1.0,0:31:22,33.8,9.437,49.1,08/12/19 19:57:16,27.0
1892,1.0,0:31:32,33.8,9.375,48.986599999999996,08/12/19 19:57:26,27.0
1902,1.0,0:31:42,33.8,9.312,48.875,08/12/19 19:57:36,27.0
1912,1.0,0:31:52,33.8,9.312,48.7616,08/12/19 19:57:46,27.0
1922,1.0,0:32:02,33.8,9.25,48.650000000000006,08/12/19 19:57:56,27.0
1932,1.0,0:32:12,33.8,9.125,48.425,08/12/19 19:58:06,27.0
1942,1.0,0:32:22,33.8,9.125,48.3116,08/12/19 19:58:16,27.0
1952,1.0,0:32:32,33.8,9.062,48.2,08/12/19 19:58:26,27.0
1962,1.0,0:32:42,33.8,8.937,48.2,08/12/19 19:58:36,27.0
1972,1.0,0:32:52,33.8,8.937,47.975,08/12/19 19:58:46,27.0
1982,1.0,0:33:02,33.8,8.812,47.975,08/12/19 19:58:56,27.0
1992,1.0,0:33:12,33.8,8.75,47.861599999999996,08/12/19 19:59:06,27.0
2002,1.0,0:33:22,33.8,8.687,47.6366,08/12/19 19:59:16,27.0
2012,1.0,0:33:32,33.8,8.625,47.6366,08/12/19 19:59:26,27.0
2022,1.0,0:33:42,33.8,8.562,47.525,08/12/19 19:59:36,27.0
2032,1.0,0:33:52,33.8,8.562,47.4116,08/12/19 19:59:46,27.0
2042,1.0,0:34:02,33.8,8.5,47.3,08/12/19 19:59:56,27.0
2052,1.0,0:34:12,33.8,8.437,47.1866,08/12/19 20:00:06,27.0
2062,1.0,0:34:22,33.8,8.375,47.075,08/12/19 20:00:16,27.0
2072,1.0,0:34:32,33.8,8.312,46.9616,08/12/19 20:00:26,27.0
2082,1.0,0:34:42,33.8,8.25,46.85,08/12/19 20:00:36,27.0
2092,1.0,0:34:52,33.8,8.187,46.736599999999996,08/12/19 20:00:46,27.0
2102,1.0,0:35:02,33.8,8.125,46.625,08/12/19 20:00:56,27.0
2112,1.0,0:35:12,33.8,8.062,46.5116,08/12/19 20:01:06,27.0
2122,1.0,0:35:22,33.8,8.0,46.4,08/12/19 20:01:16,27.0
2132,1.0,0:35:32,33.8,7.937,46.2866,08/12/19 20:01:26,27.0
2142,1.0,0:35:42,33.8,7.875,46.175,08/12/19 20:01:36,27.0
2152,1.0,0:35:52,33.8,7.812,46.175,08/12/19 20:01:46,27.0
2162,1.0,0:36:02,33.8,7.75,45.95,08/12/19 20:01:56,27.0
2172,1.0,0:36:12,33.8,7.75,45.95,08/12/19 20:02:06,27.0
